Nama CPU,CPU Mark
AMD Opteron 4184,"2,872"
AMD Opteron 4226,"3,400"
AMD Opteron 4274 HE,"5,776"
AMD Opteron 4280,"4,504"
AMD Opteron 4284,"4,665"
AMD Opteron 4332 HE,"3,911"
AMD Opteron 4334,"3,949"
AMD Opteron 4365 EE,"3,582"
AMD Opteron 4376 HE,"4,318"
AMD Opteron 4386,"3,273"
AMD Opteron 6128,"2,826"
AMD Opteron 6128 HE,"2,932"
AMD Opteron 6136,"3,381"
AMD Opteron 6164 HE,"3,478"
AMD Opteron 6172,"2,615"
AMD Opteron 6174,"3,697"
AMD Opteron 6176 SE,"3,564"
AMD Opteron 6212,"3,973"
AMD Opteron 6220,"4,753"
AMD Opteron 6234,"4,072"
AMD Opteron 6238,"5,625"
AMD Opteron 6272,"5,240"
AMD Opteron 6274,"5,643"
AMD Opteron 6276,"6,348"
AMD Opteron 6281,"7,279"
AMD Opteron 6282 SE,"6,385"
AMD Opteron 6287 SE,"6,925"
AMD Opteron 6328,"5,306"
AMD Opteron 6344,"6,069"
AMD Opteron 6348,"7,850"
AMD Opteron 6366 HE,"5,613"
AMD Opteron 6376,"5,572"
AMD Opteron 6378,"5,889"
AMD Opteron 6380,"6,687"
AMD Opteron 6386 SE,"8,291"
AMD Opteron 8439 SE,"2,479"
AMD Opteron X2170 APU,"1,911"
AMD Opteron X3216 APU,"1,498"
AMD Opteron X3418 APU,"3,043"
AMD Opteron X3421 APU,"3,306"
AMD Phenom 8250 Triple Core,"1,114"
AMD Phenom 8250e Triple Core,"1,084"
AMD Phenom 8400 Triple Core,"1,164"
AMD Phenom 8450 Triple Core,"1,221"
AMD Phenom 8450e Triple Core,"1,206"
AMD Phenom 8600 Triple Core,"1,267"
AMD Phenom 8600B Triple Core,"1,464"
AMD Phenom 8650 Triple Core,"1,218"
